,Input,Object,RA,DEC,Redshift,RA_deg,DEC_deg,D,M_BH,Activity,Activity_new
67,NGC7619,NGC 7619     ,23h20m14.53s,+08d12m22.5s, 0.012549,350.0605416666666,8.206249999999999,53.85,2300000000.0,False,B
68,NGC7768,NGC 7768     ,23h50m58.55s,+27d08m50.4s, 0.026708,357.7439583333333,27.147333333333332,116.0,1340000000.0,False,B
69,IC1459,IC 1459      ,22h57m10.61s,-36d27m44.0s, 0.006011,344.2942083333333,-36.46222222222222,28.92,2480000000.0,True,A
70,NGC1316,NGC 1316     ,03h22m41.70s,-37d12m28.6s, 0.006010,50.67374999999999,-37.20794444444445,20.95,169000000.0,True,A
71,NGC2960,NGC 2960     ,09h40m36.39s,+03d34m37.3s, 0.016501,145.15162499999997,3.5770277777777775,67.1,10800000.0,True,A
72,NGC4382,MESSIER 085  ,12h25m24.05s,+18d11m27.9s, 0.002432,186.35020833333328,18.191083333333335,17.88,13000000.0,False,B
73,NGC5128,NGC 5128     ,13h25m27.61s,-43d01m08.8s, 0.001825,201.36504166666663,-43.01911111111111,3.62,56900000.0,True,A
74,IC1481,IC 1481      ,23h19m25.12s,+05d54m22.2s, 0.020331,349.8546666666666,5.9061666666666675,89.9,14900000.0,True,A
75,NGC2778,NGC 2778     ,09h12m24.38s,+35d01m39.2s, 0.006835,138.1015833333333,35.02755555555555,23.44,14500000.0,False,B
76,NGC3607,NGC 3607     ,11h16m54.67s,+18d03m06.4s, 0.003102,169.22779166666666,18.05177777777778,22.65,137000000.0,True,A
77,NGC4261,NGC 4261     ,12h19m23.22s,+05d49m29.7s, 0.007261,184.84674999999996,5.824916666666667,32.36,529000000.0,True,A
78,NGC4459,NGC 4459     ,12h29m00.04s,+13d58m42.9s, 0.003976,187.25016666666662,13.978583333333333,16.01,69600000.0,False,B
79,NGC6251,NGC 6251     ,16h32m31.97s,+82d32m16.4s, 0.024710,248.13320833333336,82.53788888888889,108.4,614000000.0,True,A
80,NGC7052,NGC 7052     ,21h18m33.04s,+26d26m49.2s, 0.015584,319.6376666666667,26.447,70.4,396000000.0,True,A
81,A1836BC,ABELL 1836   ,14h01m40.61s,-11d36m27.0s, 0.037609,210.41920833333333,-11.6075,152.4,2660000000.0,False,B
82,A3565BC,IC 4296,13h36m39.03s,-33d57m57.1s, 0.012465,204.16262499999996,-33.96586111111112,49.2,3740000000.0,True,C
83,CygnusA,Cygnus A     ,19h59m28.36s,+40d44m02.1s, 0.056200,299.86816666666664,40.733916666666666,242.7,1300000000.0,True,A
84,NGC2974,NGC 2974     ,09h42m33.29s,-03d41m56.9s, 0.006294,145.6387083333333,-3.699138888888889,21.5,170000000.0,True,A
85,NGC3079,NGC 3079     ,10h01m57.93s,+55d40m46.9s, 0.003689,150.49137499999998,55.67969444444444,15.9,2500000.0,True,A
86,NGC3414,NGC 3414     ,10h51m16.22s,+27d58m30.3s, 0.004903,162.81758333333332,27.97508333333333,25.2,251000000.0,False,B
87,NGC4151,NGC 4151     ,12h10m32.58s,+39d24m21.1s, 0.003326,182.63574999999997,39.40586111111111,20.0,65000000.0,True,A
88,NGC4552,MESSIER 089  ,12h35m39.81s,+12d33m22.8s, 0.001134,188.91587499999997,12.556333333333335,15.3,500000000.0,True,A
89,NGC4596,NGC 4596     ,12h39m55.95s,+10d10m34.3s, 0.006311,189.983125,10.176194444444445,16.5,76700000.0,False,B
90,NGC5813,NGC 5813     ,15h01m11.24s,+01d42m07.1s, 0.006525,225.29683333333332,1.7019722222222222,32.2,710000000.0,True,C
91,NGC5846,NGC 5846     ,15h06m29.23s,+01d36m22.6s, 0.005711,226.62179166666664,1.606277777777778,24.9,1100000000.0,True,C
92,NGC0307,NGC 0307     ,00h56m32.57s,-01d46m19.1s, 0.013026,14.135708333333332,-1.771972222222222,52.8,400000000.0,False,B
93,NGC1398,NGC 1398     ,03h38m52.06s,-26d20m15.6s, 0.004657,54.71691666666666,-26.337666666666667,24.8,108000000.0,False,B
94,NGC3627,MESSIER 066  ,11h20m15.01s,+12d59m29.8s, 0.002408,170.06254166666668,12.99161111111111,10.5,84900000.0,True,A
95,NGC3923,NGC 3923     ,11h51m01.71s,-28d48m21.4s, 0.005801,177.75712499999997,-28.805944444444446,20.8,2810000000.0,False,B
96,NGC4371,NGC 4371     ,12h24m55.43s,+11d42m15.0s, 0.003112,186.23095833333332,11.704166666666666,16.9,7000000.0,False,B
97,NGC4501,MESSIER 088  ,12h31m59.17s,+14d25m13.0s, 0.007619,187.99654166666667,14.420277777777777,16.5,20000000.0,True,A
98,NGC4699,NGC 4699     ,12h49m02.18s,-08d39m51.9s, 0.004650,192.2590833333333,-8.664416666666668,18.9,176000000.0,False,B
99,NGC5018,NGC 5018     ,13h13m01.05s,-19d31m05.5s, 0.009393,198.25437499999998,-19.518194444444443,40.6,105000000.0,False,B
100,NGC5419,NGC 5419     ,14h03m38.73s,-33d58m41.8s, 0.013763,210.911375,-33.97827777777778,56.2,7240000000.0,True,C
101,NGC4486A,NGC4486A,12h30m57.73s,+12d16m13.5s,0.002528,187.66979,12.27042,18.36,14400000,False,B
102,NGC4486B,NGC4486B,12h30m31.97s,+12d29m24.6s,0.005187,187.63325,12.49017,16.26,600000000,False,B
